Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
BHAGYANGR.NS,2023-03-31,False,False,False,False,False,False,False,True,True
BHANDARI.NS,2023-03-31,False,False,False,False,True,False,True,True,True
BEPL.NS,2023-03-31,False,False,True,True,True,False,True,True,True
BBL.NS,2023-03-31,True,False,False,False,True,False,False,True,True
BDL.NS,2023-03-31,False,False,True,False,True,True,False,True,True
BEL.NS,2023-03-31,False,True,True,True,True,False,False,True,True
BHARATFORG.NS,2023-03-31,False,False,False,False,True,False,False,True,True
BHARATGEAR.NS,2023-03-31,False,False,True,False,True,False,True,False,False
BHEL.NS,2023-03-31,False,False,False,False,False,False,False,True,True
BPCL.NS,2023-03-31,False,False,False,False,True,False,False,False,False
BHARATRAS.NS,2023-03-31,False,False,True,True,True,True,False,True,False
BRNL.NS,2023-03-31,False,False,False,False,True,True,True,False,True
BHARATWIRE.NS,2023-03-31,True,True,True,True,True,True,False,True,True
BHARTIARTL.NS,2023-03-31,True,True,False,False,True,True,False,False,True
BIL.NS,2023-03-31,False,False,True,True,True,False,True,True,True
BIGBLOC.NS,2023-03-31,True,True,True,True,True,False,False,True,False
BIOCON.NS,2023-03-31,False,False,False,False,True,False,False,True,True
BIOFILCHEM.NS,2023-03-31,False,False,False,False,False,False,False,True,True
BIRLACABLE.NS,2023-03-31,True,True,True,True,False,False,True,True,True
BIRLACORPN.NS,2023-03-31,False,False,False,False,True,False,False,True,True
BIRLATYRE.NS,2023-03-31,False,False,False,False,False,False,True,False,False
BSOFT.NS,2023-03-31,False,False,True,True,True,True,False,True,True
BLBLIMITED.NS,2023-03-31,False,False,False,True,False,False,False,True,False
BLISSGVS.NS,2023-03-31,True,False,False,True,True,False,True,True,True
BLS.NS,2023-03-31,True,False,True,True,True,True,False,True,True
BLUECHIP.NS,2023-03-31,False,True,True,True,False,False,True,True,True
BLUEDART.NS,2023-03-31,False,False,True,True,True,False,False,True,True
BLUESTARCO.NS,2023-03-31,True,False,True,True,True,False,False,False,True
BODALCHEM.NS,2023-03-31,False,False,False,False,True,False,False,True,True
BBTC.NS,2023-03-31,False,False,False,False,True,True,True,True,True
BOMDYEING.NS,2023-03-31,True,False,True,False,True,True,True,False,True
BSHSL.NS,2023-03-31,True,True,True,True,False,False,False,True,False
BORORENEW.NS,2023-03-31,False,False,False,False,False,False,False,True,False
BOSCHLTD.NS,2023-03-31,True,False,True,True,True,False,False,True,False
BPL.NS,2023-03-31,False,False,False,False,True,False,True,True,True
BCONCEPTS.NS,2023-03-31,True,False,True,True,True,False,False,False,True
BRIGADE.NS,2023-03-31,True,False,False,False,True,True,False,False,True
BCG.NS,2023-03-31,True,True,True,True,True,False,True,True,True
BRITANNIA.NS,2023-03-31,True,False,True,True,True,True,False,True,False
BROOKS.NS,2023-03-31,False,False,False,False,False,False,True,True,True
BSE.NS,2023-03-31,False,False,False,False,False,False,False,True,True
BSL.NS,2023-03-31,True,False,True,False,True,False,True,False,False
BURNPUR.NS,2023-03-31,False,False,True,False,True,True,True,False,True
BUTTERFLY.NS,2023-03-31,True,False,True,True,True,True,False,True,True
CALSOFT.NS,2023-03-31,False,False,False,False,False,False,False,True,False
CTE.NS,2023-03-31,True,False,False,False,False,False,True,True,True
CAMLINFINE.NS,2023-03-31,False,False,False,False,True,False,False,True,False
CANFINHOME.NS,2023-03-31,True,True,True,False,False,False,True,False,True
CANBK.NS,2023-03-31,True,True,True,False,False,False,True,False,True
CANTABIL.NS,2023-03-31,True,False,True,True,True,False,False,True,True
CAPACITE.NS,2023-03-31,True,False,False,False,True,False,True,True,True
CAPTRUST.NS,2023-03-31,True,False,False,False,True,True,True,True,True
CAPLIPOINT.NS,2023-03-31,True,True,True,True,True,False,True,True,True
CGCL.NS,2023-03-31,True,False,False,False,False,False,False,True,True
CARBORUNIV.NS,2023-03-31,True,True,True,True,True,False,False,True,False
CARERATING.NS,2023-03-31,False,False,True,True,True,True,False,True,True
CAREERP.NS,2023-03-31,False,False,False,False,True,False,False,True,False
CASTROLIND.NS,2022-12-31,False,False,True,True,True,True,True,True,False
CCL.NS,2023-03-31,True,True,True,True,True,False,False,True,True
CEATLTD.NS,2023-03-31,True,False,False,False,True,False,False,True,True
CELEBRITY.NS,2023-03-31,False,False,True,False,True,False,True,False,True
CENTRALBK.NS,2023-03-31,True,True,False,False,False,False,True,False,True
CDSL.NS,2023-03-31,False,False,True,True,True,False,False,True,True
CENTRUM.NS,2023-03-31,True,False,False,False,False,False,True,False,True
CENTUM.NS,2023-03-31,False,False,False,False,True,False,False,False,True
CENTENKA.NS,2023-03-31,False,False,False,True,True,False,True,True,True
CENTEXT.NS,2023-03-31,False,False,False,False,True,False,True,True,True
CENTURYPLY.NS,2023-03-31,True,True,True,True,True,False,False,True,True
CENTURYTEX.NS,2023-03-31,True,False,False,False,True,False,False,True,True
CERA.NS,2023-03-31,True,False,True,True,True,False,False,True,True
CEREBRAINT.NS,2023-03-31,False,False,False,False,False,False,False,True,False
CESC.NS,2023-03-31,False,False,True,False,True,False,True,True,True
CGPOWER.NS,2023-03-31,False,False,True,True,True,True,False,True,True
CHALET.NS,2023-03-31,False,False,True,False,True,True,False,True,True
CHAMBLFERT.NS,2023-03-31,False,False,True,True,True,True,True,True,False
CHEMBOND.NS,2023-03-31,True,False,False,True,True,False,False,True,True
CHEMCON.NS,2023-03-31,False,False,True,True,True,False,False,True,False
CHEMFAB.NS,2023-03-31,True,False,True,True,True,True,True,True,True
CHENNPETRO.NS,2023-03-31,True,True,True,True,True,False,True,True,True
CHOLAHLDNG.NS,2023-03-31,True,True,False,False,False,False,True,False,True
CHOLAFIN.NS,2023-03-31,True,True,True,False,False,False,False,False,True
CIGNITITEC.NS,2023-03-31,True,False,True,True,True,False,True,True,False
CINELINE.NS,2023-03-31,True,False,False,False,True,True,False,False,True
CINEVISTA.NS,2023-03-31,True,False,False,False,False,False,True,True,True
CIPLA.NS,2023-03-31,False,True,True,True,True,False,False,True,True
CUB.NS,2023-03-31,False,True,True,False,True,False,True,False,False
CLEDUCATE.NS,2023-03-31,True,True,False,True,True,False,True,True,True
CMICABLES.NS,2023-03-31,False,False,True,False,True,True,True,False,False
COALINDIA.NS,2023-03-31,True,False,True,True,True,True,True,False,False
COCHINSHIP.NS,2023-03-31,False,False,False,False,True,True,False,True,True
COFORGE.NS,2023-03-31,False,True,True,True,True,False,False,True,True
COLPAL.NS,2023-03-31,False,False,True,True,True,True,False,True,True
COMPUSOFT.NS,2023-03-31,False,False,False,False,True,True,False,True,True
CAMS.NS,2023-03-31,False,False,True,True,True,True,False,True,True
CONFIPET.NS,2023-03-31,True,False,True,True,False,False,False,True,True
CCCL.NS,2023-03-31,False,False,True,False,False,False,True,False,True
CONSOFINVT.NS,2023-03-31,True,False,True,True,True,True,True,True,True
CONCOR.NS,2023-03-31,False,True,True,True,True,False,False,True,True
