Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
SCMA.JK,2022-12-31,False,False,False,True,False,False,False,True,False
SDMU.JK,2022-12-31,False,False,True,False,True,False,False,False,False
SDPC.JK,2022-12-31,True,False,False,False,False,False,False,False,False
SDRA.JK,2022-12-31,True,True,False,False,False,False,True,False,True
SGRO.JK,2022-12-31,False,False,True,True,True,True,True,True,False
SHID.JK,2022-12-31,False,False,False,False,False,False,True,True,False
SIDO.JK,2022-12-31,False,False,True,True,True,True,False,True,False
SILO.JK,2022-12-31,False,True,False,True,True,False,False,True,True
SIMP.JK,2022-12-31,False,True,False,False,True,True,True,True,False
SIPD.JK,2022-12-31,False,False,False,False,False,False,True,False,False
SKBM.JK,2022-12-31,True,True,False,False,True,False,True,True,False
SMAR.JK,2022-12-31,True,True,True,True,True,False,True,True,False
SMBR.JK,2022-12-31,True,False,False,False,True,True,False,True,False
SMCB.JK,2022-12-31,False,True,False,False,True,True,True,True,True
SMDM.JK,2022-12-31,True,False,False,False,True,True,True,True,False
SMDR.JK,2022-12-31,True,True,True,True,True,True,False,True,False
SMGR.JK,2022-12-31,False,False,False,False,True,True,False,True,False
SMMA.JK,2022-12-31,False,False,False,False,False,False,False,False,True
SMMT.JK,2022-12-31,True,False,True,True,True,True,True,True,True
SMRA.JK,2022-12-31,True,False,False,False,True,True,False,True,True
SMRU.JK,2022-12-31,False,False,False,False,True,True,True,False,True
SMSM.JK,2022-12-31,True,False,True,True,True,True,True,True,True
SOCI.JK,2022-12-31,False,False,False,False,False,False,False,True,False
SONA.JK,2022-12-31,True,False,False,False,True,True,True,True,False
SRAJ.JK,2022-12-31,False,False,False,False,False,False,True,True,True
SRIL.JK,2022-12-31,False,False,True,False,True,False,True,False,True
SRSN.JK,2022-12-31,False,False,False,False,True,False,True,True,True
SRTG.JK,2022-12-31,False,False,False,True,True,True,True,True,False
SSIA.JK,2022-12-31,False,False,False,False,False,False,True,True,True
SSMS.JK,2022-12-31,True,True,True,True,True,True,True,True,True
STAR.JK,2022-12-31,False,False,False,False,True,True,False,True,True
STTP.JK,2022-12-31,False,False,True,True,True,True,False,True,False
SULI.JK,2022-12-31,True,False,True,True,True,False,False,True,False
SUPR.JK,2022-12-31,False,False,True,True,True,True,False,True,True
TARA.JK,2022-12-31,False,False,False,False,False,False,True,True,True
TAXI.JK,2022-12-31,False,False,False,False,False,False,True,True,True
TBIG.JK,2022-12-31,False,True,True,False,True,True,False,False,False
TBLA.JK,2022-12-31,False,True,True,False,False,False,True,False,False
TKIM.JK,2022-12-31,True,False,True,True,True,False,False,True,False
TLKM.JK,2022-12-31,False,False,True,True,True,True,False,True,True
TMAS.JK,2022-12-31,True,False,True,True,True,True,True,True,True
TOBA.JK,2022-12-31,True,False,True,True,True,True,False,True,False
TOTL.JK,2022-12-31,False,False,False,False,True,True,True,True,True
TOTO.JK,2022-12-31,True,False,True,True,True,True,True,True,False
TOWR.JK,2022-12-31,False,True,True,True,True,True,False,False,False
TPIA.JK,2022-12-31,False,False,False,False,False,False,True,True,False
TPMA.JK,2022-12-31,True,False,True,True,True,True,False,True,True
TRIO.JK,2022-12-31,False,False,False,True,True,False,False,False,True
TRST.JK,2022-12-31,False,False,False,False,False,False,True,True,False
TSPC.JK,2022-12-31,False,True,True,True,False,False,True,True,False
ULTJ.JK,2022-12-31,False,False,True,True,False,False,False,True,False
UNIC.JK,2022-12-31,False,False,True,True,True,False,False,True,False
UNSP.JK,2022-12-31,True,True,False,False,False,False,True,False,False
UNTR.JK,2022-12-31,True,False,True,True,True,True,True,True,True
UNVR.JK,2022-12-31,False,False,True,True,True,True,False,False,False
VICO.JK,2022-12-31,False,False,False,False,True,True,True,False,False
VIVA.JK,2022-12-31,True,False,True,False,False,False,True,False,True
WEHA.JK,2022-12-31,False,False,True,True,False,False,True,True,True
WIIM.JK,2022-12-31,True,True,True,True,True,False,True,True,True
SHIP.JK,2022-12-31,True,False,True,False,False,False,False,True,False
CASA.JK,2022-12-31,False,False,False,False,False,False,False,False,False
DPUM.JK,2022-12-31,True,False,False,False,False,False,True,True,True
IDPR.JK,2022-12-31,False,False,False,False,False,False,True,True,False
JGLE.JK,2022-12-31,True,False,False,False,True,False,True,True,True
WSBP.JK,2022-12-31,False,False,False,True,True,False,True,False,False
PBSA.JK,2022-12-31,True,True,True,True,True,True,True,True,True
PRDA.JK,2022-12-31,False,False,True,True,True,True,True,True,False
BOGA.JK,2022-12-31,False,False,False,False,False,False,False,True,False
BRIS.JK,2022-12-31,True,True,True,False,True,False,True,False,True
TGRA.JK,2022-12-31,False,False,False,False,True,True,False,True,True
FIRE.JK,2022-12-31,False,False,False,False,False,False,True,True,False
TOPS.JK,2022-12-31,False,False,False,False,False,False,True,True,True
KMTR.JK,2022-12-31,False,False,False,False,True,False,True,True,False
MAPB.JK,2022-12-31,False,False,True,True,True,True,False,True,False
WOOD.JK,2022-12-31,False,False,False,False,True,False,True,True,True
HRTA.JK,2022-12-31,True,True,True,True,False,False,True,True,True
HOKI.JK,2022-12-31,False,False,False,False,True,True,False,True,False
MARK.JK,2022-12-31,False,False,True,True,True,True,True,True,True
NASA.JK,2022-12-31,True,False,False,False,True,True,True,True,True
KIOS.JK,2022-12-31,False,False,False,False,False,False,False,True,False
GMFI.JK,2022-12-31,False,False,False,False,True,False,False,False,False
ZINC.JK,2022-12-31,False,False,False,False,False,False,True,True,True
MCAS.JK,2022-12-31,False,False,False,False,True,False,False,True,True
PPRE.JK,2022-12-31,True,False,False,False,True,False,True,True,False
WEGE.JK,2022-12-31,False,False,False,False,False,False,True,True,False
PSSI.JK,2022-12-31,True,False,True,True,True,False,False,True,True
