Stock,Date,Sector,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,PBR,ROE_increase,Asset,Oper_over_Invest,Net Income Sign,Total Revenue,profit loss
1435.T,2022-12-31,Real Estate,1.249354823795009,"[719433000.0, 373913000.0, -1007325000.0, -14536662000.0]",0.09112005269876629,0.06690121002501287,271959000.0,-0.06304985824093323,20.625,0.7342095185807402,1.9043844416037052,0.0414454637486731,-428995000.0,894827000.0,"[719433000.0, 373913000.0, -1007325000.0, -14536662000.0]","[5421170000.0, 4090555000.0, 6147103000.0, 18828288000.0]",44.84848484848485
1436.T,2023-04-30,Industrials,0.3778560359755972,"[323610000.0, 282421000.0, 159170000.0, 79098000.0]",0.0681069996089651,0.031409956765084075,382947000.0,0.03884559447127545,11.32241813602015,0.4611854426919947,0.8105862703393922,0.004956606189355006,-80254000.0,484331000.0,"[323610000.0, 282421000.0, 159170000.0, 79098000.0]","[8853977000.0, 7186591000.0, 5990829000.0, 4735252000.0]",7.786429365962181
1439.T,2022-12-31,Industrials,0.5179548659044791,"[135160000.0, 90184000.0, -13352000.0, 123292000.0]",0.08303440497026894,0.03185394884325576,-182666000.0,-0.04131225234517289,13.992087233426615,0.38362349744857316,1.1937190947800014,0.022889244013404406,-285808000.0,-82189000.0,"[135160000.0, 90184000.0, -13352000.0, 123292000.0]","[7046602000.0, 6913577000.0, 5396615000.0, 5059888000.0]",-22.344827586206897
1443.T,2023-03-31,Industrials,-0.6247230502362355,"[329154000.0, 466682000.0, 746473000.0, 656052000.0]",0.03451889591633262,0.02093067664815391,668541000.0,0.12199590950995141,11.10014800197336,0.6063541747941757,0.3831529725898233,-0.012694577206105728,-712658000.0,3041715000.0,"[329154000.0, 466682000.0, 746473000.0, 656052000.0]","[5480028000.0, 8179511000.0, 9361192000.0, 10008698000.0]",-1.3333333333333335
1444.T,2023-07-31,Consumer Cyclical,-0.3040426653069197,"[69464000.0, 136970000.0, 102154000.0, 124776000.0]",0.046966043869411354,0.02788102000285778,67918000.0,0.010690716839409078,36.57697121401752,0.59364208065684,1.7203994655942492,-0.05473322566595137,147877000.0,536990000.0,"[69464000.0, 136970000.0, 102154000.0, 124776000.0]","[4166512000.0, 3504776000.0, 2880944000.0, 2729495000.0]",6.9289991445680075
1447.T,2023-03-31,Technology,-1.01224919451229,"[162492000.0, -935886000.0, -358005000.0, 83156000.0]",0.05457383128164808,0.009688638918310677,369398000.0,-0.014017913235694278,55.6998556998557,0.1775326872014709,3.13116150787027,0.4400990559824898,-1941707000.0,868113000.0,"[162492000.0, -935886000.0, -358005000.0, 83156000.0]","[30528153000.0, 26286226000.0, 22830151000.0, 21224761000.0]",-4.66321243523316
1450.T,2023-03-31,Industrials,0.26810784255794945,"[1086769000.0, 967393000.0, 982268000.0, 551605000.0]",0.17480236057473464,0.1355431352640092,-222200000.0,-0.0241187644700716,10.273753301849036,0.7754079225152075,1.7959953547698053,-0.00305227851599027,-693771000.0,-67993000.0,"[1086769000.0, 967393000.0, 982268000.0, 551605000.0]","[11246057000.0, 9824388000.0, 9011368000.0, 6662518000.0]",-13.712504869497469
1451.T,2023-03-31,Real Estate,-0.02531123974082862,"[356124000.0, 340650000.0, 318991000.0, 418195000.0]",0.05783401602970984,0.022078230527689945,-571015000.0,-0.05381768227513484,7.168338907469342,0.3817516410471679,0.4161592470294466,0.00029749135740961274,418542000.0,-551531000.0,"[356124000.0, 340650000.0, 318991000.0, 418195000.0]","[11047187000.0, 11888106000.0, 11632122000.0, 11805988000.0]",6.065318818040436
1491.T,2023-03-31,Basic Materials,0.3725953084503913,"[398347000.0, 546852000.0, 175665000.0, -296966000.0]",0.055500846138262866,0.03703051603367883,-1121596000.0,-0.014654872721041105,25.36231884057971,0.6672063330607423,1.4129491018506366,-0.02187771340749403,-677289000.0,-957523000.0,"[398347000.0, 546852000.0, 175665000.0, -296966000.0]","[84822504000.0, 51590216000.0, 39452935000.0, 28517805000.0]",-14.285714285714285
1514.T,2023-03-31,Energy,2.8336961965824305,"[3667000000.0, 2267000000.0, -94000000.0, 1021000000.0]",0.18009920927262904,0.14026699307654056,53000000.0,0.0007520116311132279,4.9187527448397015,0.7788318096622423,0.9718578953882422,0.0494514453261099,535000000.0,75000000.0,"[3667000000.0, 2267000000.0, -94000000.0, 1021000000.0]","[39893000000.0, 12404000000.0, 9781000000.0, 15390000000.0]",4.761904761904762
1515.T,2023-03-31,Basic Materials,0.1541927771579916,"[9780000000.0, 9279000000.0, 3746000000.0, 4518000000.0]",0.07015379318260072,0.04694362445100439,15818000000.0,0.0511949762224119,6.319209375903656,0.6691530467756258,0.44515185764088144,-0.0032740253488429127,6780000000.0,21325000000.0,"[9780000000.0, 9279000000.0, 3746000000.0, 4518000000.0]","[164020000000.0, 149082000000.0, 119159000000.0, 117502000000.0]",26.244952893674295
1518.T,2023-03-31,Energy,3.975509099001906,"[22977000000.0, 5396000000.0, -3035000000.0, 2292000000.0]",0.4059540636042403,0.24179952644041042,26204000000.0,0.31867774792226455,1.7732000746610557,0.5956327282294133,0.7236200353356891,0.2541037751562313,18651000000.0,27541000000.0,"[22977000000.0, 5396000000.0, -3035000000.0, 2292000000.0]","[80015000000.0, 46592000000.0, 57378000000.0, 66596000000.0]",-9.984051036682615
1662.T,2023-03-31,Energy,-2.8242277617267506,"[67394000000.0, -30988000000.0, -2725000000.0, 26815000000.0]",0.1474165895613638,0.11861381956422261,104581000000.0,0.2033242989432141,3.5175676222051506,0.8046164947727833,0.5166718739541568,0.22435399040403042,41653000000.0,157304000000.0,"[67394000000.0, -30988000000.0, -2725000000.0, 26815000000.0]","[336492000000.0, 249140000000.0, 240078000000.0, 318822000000.0]",12.758620689655173
1663.T,2022-12-31,Utilities,1.2820171667839673,"[4766000000.0, 2846000000.0, 2844000000.0, 2737000000.0]",0.055172254121133545,0.04339710261056427,12172000000.0,0.05851224105461394,11.742065041557426,0.7865747612066689,0.6904913919823115,0.02051396584601055,629000000.0,21840000000.0,"[4766000000.0, 2846000000.0, 2844000000.0, 2737000000.0]","[106200000000.0, 66070000000.0, 58452000000.0, 65133000000.0]",7.695961995249406
1711.T,2023-03-31,Utilities,2.1401390076445077,"[-270863000.0, -333788000.0, -348374000.0, -359630000.0]",-0.41214824147365026,-0.06020124944102317,-717609000.0,-0.34334322188873345,-9.013282732447818,0.14606698120504294,3.7870478988067524,0.14732799753085524,-87897000.0,-60086000.0,"[-270863000.0, -333788000.0, -348374000.0, -359630000.0]","[3445060000.0, 1034970000.0, 844454000.0, 2273085000.0]",-5.614035087719298
1712.T,2023-02-28,Industrials,-0.46100635424019376,"[724000000.0, 1252000000.0, 689000000.0, 678740000.0]",0.045408931259407925,0.03297804500318848,1118000000.0,0.024861373469014684,19.679740078904615,0.7262457866448028,0.8949697541394882,-0.03682963941846912,241000000.0,1777000000.0,"[724000000.0, 1252000000.0, 689000000.0, 678740000.0]","[16411000000.0, 17082000000.0, 14906000000.0, 14048977000.0]",63.20754716981132
1716.T,2023-06-30,Industrials,0.29018551043234975,"[1946864000.0, 1580021000.0, 1743496000.0, 1523817000.0]",0.11296751043296213,0.09027527768426578,2740454000.0,0.08653365783579095,8.07699017270454,0.7991260260430143,0.9671669227519809,0.01330805110988055,1672689000.0,3301831000.0,"[1946864000.0, 1580021000.0, 1743496000.0, 1523817000.0]","[22164393000.0, 20949144000.0, 19337792000.0, 17440075000.0]",-8.71130309575234
1717.T,2023-03-31,Industrials,0.19188522033252475,"[651211000.0, 606270000.0, 620481000.0, 639600000.0]",0.1408324936943273,0.09835828120598628,210402000.0,0.030870514316073964,14.027949761188749,0.6984061605801711,2.1910174305381194,-0.0006961661686051279,-336838000.0,420733000.0,"[651211000.0, 606270000.0, 620481000.0, 639600000.0]","[4761955000.0, 4260273000.0, 4240560000.0, 4353631000.0]",-7.6923076923076925
1718.T,2022-12-31,Industrials,0.17097894484627876,"[734690000.0, 731365000.0, 795608000.0, 1071290000.0]",0.04422574930768033,0.023700669024765326,1198384000.0,0.0314655280736804,5.6541729284151945,0.5359020343528567,0.2638050024235101,-0.0018139745389596437,-16146000.0,1285351000.0,"[734690000.0, 731365000.0, 795608000.0, 1071290000.0]","[30758899000.0, 26370060000.0, 27260898000.0, 29887483000.0]",10.789473684210527
1719.T,2023-03-31,Industrials,-0.04696145164774396,"[15187000000.0, 17671000000.0, 17189000000.0, 16803000000.0]",0.10746304564720534,0.04775575918041344,32272000000.0,0.07865998828416804,10.3063178047224,0.44439238524090136,1.2411959829114865,-0.017261686142743843,9587000000.0,37012000000.0,"[15187000000.0, 17671000000.0, 17189000000.0, 16803000000.0]","[372146000000.0, 340292000000.0, 352000000000.0, 378134000000.0]",19.298245614035086
1720.T,2023-03-31,Industrials,-1.5838979130116722,"[5245000000.0, -7459000000.0, 2647000000.0, 14903000000.0]",0.05462517444645795,0.021050392512562008,20392000000.0,0.06829094358303302,14.882976595319063,0.38536064600022474,0.8272442304567893,0.13477604161028423,20066000000.0,17994000000.0,"[5245000000.0, -7459000000.0, 2647000000.0, 14903000000.0]","[288867000000.0, 258083000000.0, 231483000000.0, 322169000000.0]",1.6129032258064515
1721.T,2023-03-31,Industrials,-0.381608344594824,"[19338000000.0, 29208000000.0, 29369000000.0, 25994000000.0]",0.055773307376162665,0.03851170904919613,61781000000.0,0.09426499436352177,17.12522823144242,0.6905043086194295,1.1061215660826302,-0.029260230913384574,6755000000.0,68624000000.0,"[19338000000.0, 29208000000.0, 29369000000.0, 25994000000.0]","[563295000000.0, 589028000000.0, 563252000000.0, 560882000000.0]",14.742647058823529
1723.T,2023-03-31,Technology,0.1288902925722458,"[3167000000.0, 3029000000.0, 3324000000.0, 3184030000.0]",0.10191144291414596,0.07315777315777315,3518000000.0,0.09633321674245074,9.406291089309194,0.7178563178563179,0.9812942463637534,-0.0030326030963172684,328000000.0,5719000000.0,"[3167000000.0, 3029000000.0, 3324000000.0, 3184030000.0]","[34308000000.0, 31669000000.0, 34079000000.0, 31298714000.0]",16.263440860215052
1724.T,2022-12-31,Technology,-0.8994985201910913,"[294000000.0, 871000000.0, 529000000.0, 834000000.0]",0.055159474671669796,0.025941939468807906,-1703000000.0,-0.19678876066231812,10.664363122349615,0.47030795023383043,0.6297986153846153,-0.11769228162918355,-11000000.0,-1362000000.0,"[294000000.0, 871000000.0, 529000000.0, 834000000.0]","[9965000000.0, 13061000000.0, 10892000000.0, 10294000000.0]",-0.7363770250368188
1726.T,2023-03-31,Industrials,-0.3253229021178952,"[1025000000.0, 1527000000.0, 1948000000.0, 1348000000.0]",0.07404999277561046,0.02539957873869409,-5703000000.0,-0.16387207817444896,17.101193106495803,0.3430058233180523,1.280354356306892,-0.04081385557702982,395000000.0,-5628000000.0,"[1025000000.0, 1527000000.0, 1948000000.0, 1348000000.0]","[36022000000.0, 35899000000.0, 38797000000.0, 34775000000.0]",-1.8087855297157622
